every_date,cat,query,answer,correct,boundary,boundary_mark
2024-06-08,A,皇玺集团在2023年第一季度的行政开支是多少？,约3.1百万港元。,1,0,1
2024-06-08,A,皇玺集团在2023年第一季度的物业租金及相关开支是多少？,约1.0百万港元。,0,0,1
2024-06-07,A,皇玺集团的主要营业地点在哪里？,香港九龙青山道489–491号香港工业中心A座6楼603室。,0,0,1
2024-06-07,A,投资GEM上市公司的股票存在哪些风险？,投资GEM的公司相比主板公司有更高的投资风险，可能承受更大的市场波动风险，且无法保证高流通量市场。,0,0,1
2024-06-07,A,皇玺集团在2023年第一季度的未经审核收益是多少？,约6.8百万港元。,0,0,1
2024-06-07,A,皇玺集团在2023年第一季度的行政开支是多少？,约3.1百万港元。,1,1,0
2024-06-07,A,皇玺集团在2023年第一季度的物业租金及相关开支是多少？,约1.0百万港元。,1,1,0
2024-06-06,A,皇玺集团在2023年第一季度的未经审核收益是多少？,约6.8百万港元。,1,1,0
2024-06-06,A,投资GEM上市公司的股票存在哪些风险？,投资GEM的公司相比主板公司有更高的投资风险，可能承受更大的市场波动风险，且无法保证高流通量市场。,1,1,0
2024-06-06,A,皇玺集团的主要营业地点在哪里？,香港九龙青山道489–491号香港工业中心A座6楼603室。,1,1,0
